TI,signal
0.1,0.58349
0.11637,0.56384
0.13543,0.44752
0.15761,0.47889
0.18341,0.33907
0.21345,0.45451
0.2484,0.35262
0.28907,0.14349
0.3364,0.22179
0.39149,0.28387
0.45559,0.24746
0.53019,0.063051
0.61701,0.093799
0.71804,0.11583
0.83561,0.26821
0.97244,0.25505
1.1317,0.3761
1.317,0.44211
1.5326,0.56928
1.7836,0.59332
2.0756,0.61385
2.4155,0.63962
2.811,0.61998
3.2713,0.74879
3.807,0.81875
4.4303,0.89421
5.1558,0.79857
6,0.72431
