TI,signal
0.1,0.56968
0.11637,0.50397
0.13543,0.56287
0.15761,0.43768
0.18341,0.42244
0.21345,0.44177
0.2484,0.27421
0.28907,0.31349
0.3364,0.20209
0.39149,0.29765
0.45559,0.16918
0.53019,0.064846
0.61701,0.063667
0.71804,0.23004
0.83561,0.20447
0.97244,0.35669
1.1317,0.42321
1.317,0.34762
1.5326,0.52837
1.7836,0.55501
2.0756,0.73797
2.4155,0.61217
2.811,0.74569
3.2713,0.71463
3.807,0.70357
4.4303,0.7748
5.1558,0.68538
6,0.72555
