TI,signal
0.1,0.62039
0.11637,0.56842
0.13543,0.4975
0.15761,0.50386
0.18341,0.37009
0.21345,0.40211
0.2484,0.39785
0.28907,0.23239
0.3364,0.25556
0.39149,0.32411
0.45559,0.18932
0.53019,0.058433
0.61701,0.079241
0.71804,0.10182
0.83561,0.20222
0.97244,0.29541
1.1317,0.35255
1.317,0.43815
1.5326,0.48213
1.7836,0.62353
2.0756,0.69924
2.4155,0.57871
2.811,0.73428
3.2713,0.77568
3.807,0.6799
4.4303,0.76408
5.1558,0.73835
6,0.77053
